"","card","description","type","status","category","sub_category"
"1","OPMODEL - SETUP 1ST TIER SUPPORT","- federating run with business
- ","PROJECT","Ideas","OPMODEL","SETUP 1ST TIER SUPPORT"
"2","INFRA - Setup SMS Gateway","**AS A**
Operational Engineer

**I WANT**
Setup the SMS Gateway within the USYD environment

**SO THAT**
SMS Notifications can be sent out","PROJECT","Ideas","INFRA","Setup SMS Gateway"
"3","INFRA - CREATE AI HUB DATA MODEL","create relational database for infrastructure related information (e.g. VMs, Credentials, applications, access etc)","PROJECT","Ideas","INFRA","CREATE AI HUB DATA MODEL"
"4","MONITOR - OPTIMISE MONITORING SCHEDULE","**AS A**
Operational Engineer

**I WANT**
Move from timeloop to schedule library for fine-grained scheduling (https://github.com/dbader/schedule)

**SO THAT**
so that specific times can be set for when monitoring is conducted as opposed to just hourly increments after when the monitoring tool is turned on","PROJECT","Ideas","MONITOR","OPTIMISE MONITORING SCHEDULE"
"5","PROCESS - P23/P5 SET DOCUMENT TYPE ENHANCEMENT","The following Types should be included:
- passport
- transcript (for P23 process)
- CV
- Supplementing forms
- Awards
- Reference Reports (PHD)","PROJECT","Ideas","PROCESS","P23/P5 SET DOCUMENT TYPE ENHANCEMENT"
"6","OPMODEL - SETUP STATUS PAGE","AS A
Operational Team Lead

I WANT
Stakeholders to be able to register to various operational functionalities to receive notifications on status and also be able to manually view status without having to ask the Operations Team

SO THAT
Stakeholders can be proactively informed of incidents and they can also proactively view status of operational functions without having to reach out to the AI Hub Operations team","PROJECT","Ideas","OPMODEL","SETUP STATUS PAGE"
"7","PROCESS - USE SET CASE DATA FUNCTION","AS A
Operations Engineer

I WANT
update all processes to save case data to queue instead of just an excel report

SO THAT
when processes fail to save data to excel, the case data can still be easily extracted for the business","PROJECT","Ideas","PROCESS","USE SET CASE DATA FUNCTION"
"8","INFRA - USE MULESOFT APIS","Eric Park is the key contact - he is the Team Lead / Product Manager of the team that builds MuleSoft API's at the university.","PROJECT","Ideas","INFRA","USE MULESOFT APIS"
"9","PROCESS - P20 BULK UPLOAD ENHANCEMENT","AS A
James Campbell

I WANT
the bulk uploads function to be investigated where roughly 300 sanctions can be added at a time

SO THAT
we know we are using the best method possible

NOTES
- currently processing speed is 1 min per case (300 = 300 mins)
- new method could be 300 cases in under 10 mins","PROJECT","Ideas","PROCESS","P20 BULK UPLOAD ENHANCEMENT"
"10","INFRA - CREATE AI HUB DATA ARCHITECTURE","AS A
AI Hub Data Champion

I WANT
To have a data architecture diagram

SO THAT
I can understand how all the related monitoring and performance metrics relate, where the sources are, how I can get them and where duplication might be occurring","PROJECT","Ideas","INFRA","CREATE AI HUB DATA ARCHITECTURE"
"11","OPMODEL - CREATE SERVICE REQUEST CATALOGUE","- useful for automating standard requests
- can define SLAs for standard requests
- request portal can be used to identify additional requests to add to catalogue by non standard requests
- consider user views (functionality) and customer views (costs / performance)","PROJECT","Ideas","OPMODEL","CREATE SERVICE REQUEST CATALOGUE"
"12","AUTOMATE - INXX BP UPGRADES","","PROJECT","Ideas","AUTOMATE","INXX BP UPGRADES"
"13","P10.2 / P29 / P31 / P33 - Processes stopped until further notice","ISSUE:
The business has requested that we stop running these processes until April due to capacity constraints and that the processes caused downstream issues previously. 

IMPACT:
Three processes will not run until April

ROOT-CAUSE:
Business are worried that process will cause issues because P10 and P30 are not working

RESOLUTION:
Get P10 and P30 stable so the business is happy to work more with additional processes (P29/ P31/ P33). Also think about how processes could work better together","PROBLEM","Ideas","P10","P10.2 / P29 / P31 / Processes stopped until further notice"
"14","P13 - Hazmat - no time limit is set on how long queue data can be waiting for cases to be marked as complete or exception","ISSUE
no time limit is set on how long queue data can be waiting for cases to be marked as complete or exception. Case can be stuck in the queue for long periods.

IMPACT
Process will run slower because it needs to match input data with pending cases each time it runs

ROOT-CAUSE
scenario not considered during development

WORKAROUND 
Deploy into production and monitor

RESOLUTION
TBC","PROBLEM","Ideas","P13","Hazmat - no time limit is set on how long queue data can be waiting for cases to be marked as complete or exception"
"15","SITS - develop plan for Bots that use SITS FS2 authentication method","","PROBLEM","Ideas","SITS","develop plan for Bots that use SITS FS2 authentication method"
"16","P21 - Removing Sanctions - process runs with extremely low completion rates","","PROBLEM","Ideas","P21","Removing Sanctions - process runs with extremely low completion rates"
"17","INFRA - VM aspect ratio can prevent the process work with large window in SITS","","PROBLEM","Ideas","INFRA","VM aspect ratio can prevent the process work with large window in SITS"
"18","P23 - Document Upload Credit Applications - Object layer of process does not comply with development standards","ISSUE
Object layer of process does not comply with development standards

IMPACT
Increases likely hood of issues arising in production and makes it harder to debug and resolve issues process/ object 

ROOT-CAUSE
Object layer not complying with development standards

RESOLUTION
Enforce the Object Layer of the process to comply with development standards","PROBLEM","Ideas","P23","Document Upload Credit Applications - Object layer of process does not comply with development standards"
"19","P23 - Document Upload Credit Application - process can miss documents when there are more than 6 documents in the tab","ISSUE
Process cannot spy elements when there are more than 6 rows in the document table.

IMPACT
Miss the required document to download

WORKAROUND
Scroll down the document tab continuously and looking for new element 

ROOT-CAUSE
Hidden elements cannot be spied 

RESOLUTION
to be determined","PROBLEM","Ideas","P23","Document Upload Credit Application - process can miss documents when there are more than 6 documents in the tab"
"20","ABODE - Adobe Acrobat add-on update occurs randomly causing P6 to mark more than 50% of its cases to ""Other"" category","ISSUE
Process categorises all the cases as ""Other"" category since 3rd May

IMPACT
Cannot process any case

WORKAROUND
Implement custom custom completion rate monitoring for P6

ROOT-CAUSE
Adobe Acrobat add-on update

RESOLUTION
1. check current adobe acrobat pro version
2. revert to the older version
3. disable automatic update 

FINAL RESOLUTION
Replace Adobe Acrobat","PROBLEM","Ideas","ABODE","Adobe Acrobat add-on update occurs randomly causing P6 to mark more than 50% of its cases to ""Other"" category"
