"","processname","processcode","startdatetime","objectname","stagecounts"
"1","Create Report - Consolidated",NA,2019-09-27,"Blueprism.Automate.clsWorkQueuesActions",116
"2","Create Report - Consolidated",NA,2019-09-27,"Utility - Collection Manipulation",57
"3","Create Report - Consolidated",NA,2019-09-27,NA,132
"4","Create Report - Consolidated",NA,2019-10-04,"Blueprism.Automate.clsWorkQueuesActions",138
"5","Create Report - Consolidated",NA,2019-10-04,"Utility - Collection Manipulation",68
"6","Create Report - Consolidated",NA,2019-10-04,NA,152
"7","Create Report - Consolidated",NA,2019-10-08,"Blueprism.Automate.clsWorkQueuesActions",378
"8","Create Report - Consolidated",NA,2019-10-08,"Utility - Collection Manipulation",188
"9","Create Report - Consolidated",NA,2019-10-08,NA,395
"10","Database Test",NA,2019-10-08,"Blueprism.Automate.clsWorkQueuesActions",1
"11","Database Test",NA,2019-10-08,NA,2
"12","Database Test",NA,2019-10-15,"Blueprism.Automate.clsWorkQueuesActions",2
"13","Database Test",NA,2019-10-15,NA,4
"14","Excel - Minimal Read",NA,2019-10-08,NA,252
"15","Excel - Minimal Read",NA,2019-10-12,NA,8
"16","Excel - Read File as Collection",NA,2019-10-03,NA,3
"17","Excel - Read File as Collection with Login",NA,2019-09-30,NA,5
"18","Excel - Read File as Collection with Login",NA,2019-10-08,NA,21
"19","Excel - Read File as Collection with Login",NA,2019-10-09,NA,4
"20","Excel - Read File as Collection with Login",NA,2019-10-10,NA,3
"21","Excel - Read File as Collection with Login",NA,2019-10-14,NA,3
"22","Excel - Read File as Collection with Login",NA,2019-10-16,NA,3
"23","IN02 - VM Maintenance","IN02",2019-09-27,"Blueprism.Automate.clsWorkQueuesActions",283
"24","IN02 - VM Maintenance","IN02",2019-09-27,NA,361
"25","IN02 - VM Maintenance","IN02",2019-09-29,"Blueprism.Automate.clsWorkQueuesActions",283
"26","IN02 - VM Maintenance","IN02",2019-09-29,NA,361
"27","IN02 - VM Maintenance","IN02",2019-10-07,"Blueprism.Automate.clsWorkQueuesActions",292
"28","IN02 - VM Maintenance","IN02",2019-10-07,NA,365
"29","IN02 - VM Maintenance","IN02",2019-10-13,"Blueprism.Automate.clsWorkQueuesActions",299
"30","IN02 - VM Maintenance","IN02",2019-10-13,NA,368
"31","IN04 - VM Restart and Login - Kill Teams","IN04",2019-10-13,"Blueprism.Automate.clsWorkQueuesActions",24
"32","IN04 - VM Restart and Login - Kill Teams","IN04",2019-10-13,"Utility - Environment",46
"33","IN04 - VM Restart and Login - Kill Teams","IN04",2019-10-13,NA,168
"34","IN04 - VM Restart and Login - Login","IN04",2019-10-10,"Blueprism.Automate.clsCredentialsActions",1
"35","IN04 - VM Restart and Login - Login","IN04",2019-10-10,"Blueprism.Automate.clsWorkQueuesActions",1
"36","IN04 - VM Restart and Login - Login","IN04",2019-10-10,"Login Agent",3
"37","IN04 - VM Restart and Login - Login","IN04",2019-10-10,NA,13
